service_agency,organization_type,organization_name,organization_abbreviation,parent_organization,portfolio,name,rank_title,position,position_type,status,email,phone,location,building,mission_area,key_programs,page_number,section,last_updated,notes
DLA,,,,,,White House,,"Director of OMB 
Dan Bishop  ",Director,Confirmed,,,,,,,103,,2025 v35,
DLA,,,,,,Russell Vought,,"Director of OMB 
Dan Bishop  ",Director,Confirmed,,,,,,,103,,2025 v35,
DLA,,,,,,Dan Bishop,,"Director of OMB 
Daniel Kowalski ",Director,Confirmed,,,,,C5ISR,,103,,2025 v35,
DLA,,,,,,Daniel Kowalski,,"Director of OMB 
Amaryllis Fox Kennedy ",Director,Confirmed,,,,,C5ISR,,103,,2025 v35,
DLA,,,,,,Amaryllis Fox,,"Director for Intelligence and International Affairs  
Mark Paoletta ",Director,Confirmed,,,,,C5ISR,,103,,2025 v35,
DLA,,,,,,Kevin Rhodes,Dr.,,,Confirmed,,,,,,,103,,2025 v35,
DLA,,,,,,Gregory Barbaccia,,"Director 
Cassie Winters ",Director,Confirmed,,,,,,,103,,2025 v35,
DLA,,,,,,Jonathan Finch,,"Director 
Cassie Winters ",Director,Confirmed,,,,,,,103,,2025 v35,
DLA,,,,,,Cassie Winters,,,,Confirmed,,,,,,,103,,2025 v35,
DLA,,,,,,Mary Keller,,,,Acting,,,,,,,103,,2025 v35,
DLA,,,,,,Michael Rigas,,Chief of Staff GSA ,Chief,Acting,,,,,,,103,,2025 v35,
DLA,,,,,,Saul Japson,,"Chief of Staff GSA 
Ryan Leppert ",Chief,Acting,,,,,,,103,,2025 v35,
DLA,,,,,,Ryan Leppert,,Chief Data Officer,Chief,Confirmed,,,,,,,103,,2025 v35,
DLA,,,,,,Zach Whitman,,Chief Data Officer,Chief,Acting,,,,,Cyber,,103,,2025 v35,
DLA,,,,,,Public Buildings,,,,Acting,,,,,Cyber,,103,,2025 v35,
DLA,,,,,,Kasey Diaz,Ms.,Director Office of Acquisition Policy ,Director,Acting,,,,,Cyber,,103,,2025 v35,
DIA,,,,,,Josh Gruenbaum,,,,Confirmed,,,,,,,103,,2025 v35,
DIA,,,,,,Federal Risk,,Director FedRAMP ,Director,Confirmed,,,,,,,103,,2025 v35,
DIA,,,,,,Pete Waterman,,"Director FedRAMP 
John Hamilton ",Director,Confirmed,,,,,,,103,,2025 v35,
DIA,,,,,,John Hamilton,,,,Confirmed,,,,,,,103,,2025 v35,
DIA,,,,,,Associate Director,,,,Confirmed,,,,,,,103,,2025 v35,
DIA,,,,,,Thomas Williams,,"Director for Defense Budget OMB  
Jerry ",Director,Acting,,,,,,,103,,2025 v35,
DIA,,,,,,Associate Director,,"Director Defense Budget OMB 
Jamie Price  ",Director,Acting,,,,,,,103,,2025 v35,
DIA,,,,,,Jamie Price,,"Chief, Defense Investments Branch Budget OMB 
Page ",Chief,Acting,,,,,,,103,,2025 v35,
DIA,,,,,,White House,,,,Confirmed,,,,,,,103,,2025 v35,
DIA,,,,,,Mark Calabria,Dr.,Director for Treasury,Director,Confirmed,,,,,,,104,,2025 v35,
DIA,,,,,,Homeland Security,,"Director for Homeland Security Budget OMB 
Economic Policy and Made in America Office ",Director,Confirmed,,,,,,,104,,2025 v35,
DIA,,,,,,Brian J. Cavanaugh,,"Director for Homeland Security Budget OMB 
Economic Policy and Made in America Office 
Michael Stumo  ",Director,Confirmed,,,,,,,104,,2025 v35,
DIA,,,,,,Economic Policy,,"Director for Economic Policy and Made in America Office 
Joanna ",Director,Confirmed,,,,,,,104,,2025 v35,
DIA,,,,,,Michael Stumo,,"Director for Economic Policy and Made in America Office 
Joanna ",Director,Confirmed,,,,,Logistics,,104,,2025 v35,
DIA,,,,,,Deputy Director,,"Director of Made in America  
Education",Director,Confirmed,,,,,Logistics,,104,,2025 v35,
DIA,,,,,,Income Maintenance,,Director for Education,Director,Confirmed,,,,,Logistics,,104,,2025 v35,
DIA,,,,,,Associate Director,,Director for Education,Director,Confirmed,,,,,Logistics,,104,,2025 v35,
DIA,,,,,,"Health 
Don",,"Director for Health Budget OMB 
Natural Resources",Director,Confirmed,,,,,,,104,,2025 v35,
DIA,,,,,,Don Dempsey,,"Director for Health Budget OMB 
Natural Resources",Director,Confirmed,,,,,,,104,,2025 v35,
